id,id_categoria,id_estado,id_depto,id_custodio,id_proveedor,nombre,marca,modelo,serial,familia,subfam,ubicacion,area,fecha_ingreso,costo_adquis,valor_actual,descripcion,observaciones,foto_url,factura_url,borrado,fecha_baja,fecha_crea,fecha_act,id_seccion,id_familia,id_subfamilia
ACT-3334,CAT-0025,1,ORG-0001,null,PROV-001,Hielera De Plastico,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.777+00,2026-05-06 15:49:44.777+00,null,null,null
ACT-3335,CAT-0025,1,ORG-0001,null,PROV-001,Sacacorchos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.847+00,2026-05-06 15:49:44.847+00,null,null,null
ACT-3336,CAT-0025,1,ORG-0001,null,PROV-001,Pinza Coctelera Metalica,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.94+00,2026-05-06 15:49:44.94+00,null,null,null
ACT-3337,CAT-0009,1,ORG-0001,null,PROV-001,Repisa Para Botellas De Vinos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.02+00,2026-05-06 15:49:45.02+00,null,null,null
ACT-3338,CAT-0015,1,ORG-0001,null,PROV-001,Nevera Mini Bar 96l,Premiun,PRF3X,AB85095117498000296,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.107+00,2026-05-06 15:49:45.107+00,CAT-0058,null,null
ACT-3339,CAT-0025,1,ORG-0001,null,PROV-001,Jarra Plastica ,Optiplas,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.18+00,2026-05-06 15:49:45.18+00,null,null,null
ACT-334,CAT-0009,1,ORG-0001,null,PROV-001,Cuadro Decorativo,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.147+00,2026-05-06 15:45:11.147+00,null,null,null
ACT-3340,CAT-0015,1,ORG-0001,null,PROV-001,Caja Fuerte - 41,Elsafe,XA10/27/43/70/MX29,22148333,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.287+00,2026-05-06 15:49:45.287+00,CAT-0061,null,null
ACT-3341,CAT-0015,1,ORG-0001,null,PROV-001,Calentador Instantaneo De Agua Electrico,Start Jet,SJ-602,86-1529,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.367+00,2026-05-06 15:49:45.367+00,CAT-0060,null,null
ACT-3342,CAT-0023,1,ORG-0001,null,PROV-001,Espaldar Empotrable,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.453+00,2026-05-06 15:49:45.453+00,null,null,null
